vmid,cpu,mem,at,lt
0,4,16,0.0,205.12183923086826
1,4,16,2.0,511.64207026630373
2,4,16,2.0,505.3136361093293
3,1,1,55.0,615.1111975472903
4,2,4,83.0,6359.869924669759
5,2,4,83.0,6180.635550744154
6,2,4,83.0,6143.749010189211
7,2,4,83.0,6455.7054880006835
8,2,4,83.0,6173.858224653129
9,2,4,83.0,6179.371314116007
10,2,4,83.0,6162.838373866478
11,2,4,83.0,6176.770529873101
12,2,4,83.0,6207.658184777238
13,2,4,83.0,6227.230876094233
14,2,4,83.0,6520.7723959220475
15,2,4,83.0,6370.850172489803
16,2,4,83.0,6959.141956906718
17,2,4,83.0,6287.423230897574
18,2,4,83.0,6317.595150580109
19,2,4,83.0,6221.231936107303
20,2,4,83.0,6479.431971066121
21,2,4,83.0,6282.31871765153
22,2,4,83.0,6492.320560120105
23,1,2,89.0,10888.330056686964
24,1,2,90.0,20121.019879225998
25,1,2,90.0,16828.05816655945
26,1,2,90.0,10386.025009755771
27,1,2,90.0,16950.721980496975
28,1,2,90.0,10809.77588176593
29,1,2,90.0,10699.653445537766
30,1,2,90.0,19785.42518184663
31,1,2,90.0,10308.86402714598
32,1,2,90.0,10349.163457860137
33,1,2,90.0,11277.625234633144
34,1,2,90.0,17281.272401322225
35,1,2,90.0,10530.801158568118
36,1,2,90.0,10464.317516003737
37,1,2,90.0,10581.262155739358
38,1,2,90.0,10730.38868184378
39,1,2,90.0,10788.229234144856
40,1,2,90.0,10891.458400321751
41,1,2,90.0,10697.255887279036
42,1,2,90.0,7823.407428271954
43,2,4,146.0,59.186846275115236
44,4,16,176.0,34.35607851576469
45,4,16,220.0,31.20071372264433
46,4,16,261.0,176.34913967298036
47,4,16,366.0,66.32025896073996
48,1,2,452.0,63.55157124599346
49,4,16,494.0,683.8585741842264
50,4,16,547.0,596.6528846678272
51,1,1,694.0,719435.9916451866
52,16,32,808.0,510.1041056502373
53,1,2,863.0,13769.093501298317
54,1,2,863.0,13708.489327705127
55,1,2,863.0,14470.437345872644
56,1,2,864.0,6679.27916531246
57,1,2,864.0,5835.471821009445
58,1,2,864.0,6854.494872093392
59,1,2,864.0,6547.336668532493
60,1,2,864.0,7522.793055662101
61,1,2,864.0,5731.022964390523
62,1,2,864.0,5893.696047756186
63,1,2,864.0,6412.356673718437
64,1,2,864.0,5652.5352282281465
65,1,2,864.0,15767.607105873329
66,1,2,864.0,12181.540875420422
67,1,2,864.0,6167.724838430912
68,1,2,864.0,5983.850962506782
69,1,2,864.0,4944.896906469729
70,1,2,864.0,6278.973636021878
71,1,2,864.0,6275.756785570747
72,1,2,864.0,15321.655743783951
73,1,2,865.0,6710.901216218352
74,1,2,865.0,6590.869096579547
75,1,2,865.0,5769.050685482875
76,4,16,894.0,58.38421270952172
77,1,2,932.0,2434.9727556305206
78,2,4,932.0,2558.0139263333176
79,1,2,1263.0,5851.937173171677
80,1,2,1264.0,11838.902680772266
81,1,2,1264.0,5866.208190302716
82,1,2,1264.0,5351.25269129934
83,1,2,1264.0,5379.860215113024
84,1,2,1264.0,5455.083035630542
85,1,2,1264.0,11737.244708444636
86,1,2,1264.0,5402.36538892013
87,1,2,1264.0,6018.712531964519
88,1,2,1264.0,6665.078387334541
89,1,2,1264.0,5891.647365430048
90,1,2,1264.0,5207.621942006571
91,1,2,1264.0,5987.680790338282
92,1,2,1264.0,11859.042855938456
